"Country","Population","Regime","Probability_of_elimination_by_2000","Probability_of_elimination_by_2001","Probability_of_elimination_by_2002","Probability_of_elimination_by_2003","Probability_of_elimination_by_2004","Probability_of_elimination_by_2005","Probability_of_elimination_by_2006","Probability_of_elimination_by_2007","Probability_of_elimination_by_2008","Probability_of_elimination_by_2009","Probability_of_elimination_by_2010","Probability_of_elimination_by_2011","Probability_of_elimination_by_2012","Probability_of_elimination_by_2013","Probability_of_elimination_by_2014","Probability_of_elimination_by_2015","Probability_of_elimination_by_2016","Probability_of_elimination_by_2017","Probability_of_elimination_by_2018","Probability_of_elimination_by_2019","Probability_of_elimination_by_2020","Probability_of_elimination_by_2021","Probability_of_elimination_by_2022","Probability_of_elimination_by_2023","Probability_of_elimination_by_2024","Probability_of_elimination_by_2025","Probability_of_elimination_by_2026","Probability_of_elimination_by_2027","Probability_of_elimination_by_2028","Probability_of_elimination_by_2029","Probability_of_elimination_by_2030","Prev_Year2000","Prev_Year2001","Prev_Year2002","Prev_Year2003","Prev_Year2004","Prev_Year2005","Prev_Year2006","Prev_Year2007","Prev_Year2008","Prev_Year2009","Prev_Year2010","Prev_Year2011","Prev_Year2012","Prev_Year2013","Prev_Year2014","Prev_Year2015","Prev_Year2016","Prev_Year2017","Prev_Year2018","Prev_Year2019","Prev_Year2020","Prev_Year2021","Prev_Year2022","Prev_Year2023","Prev_Year2024","Prev_Year2025","Prev_Year2026","Prev_Year2027","Prev_Year2028","Prev_Year2029","Prev_Year2030","Lower_Bound_Year2000","Lower_Bound_Year2001","Lower_Bound_Year2002","Lower_Bound_Year2003","Lower_Bound_Year2004","Lower_Bound_Year2005","Lower_Bound_Year2006","Lower_Bound_Year2007","Lower_Bound_Year2008","Lower_Bound_Year2009","Lower_Bound_Year2010","Lower_Bound_Year2011","Lower_Bound_Year2012","Lower_Bound_Year2013","Lower_Bound_Year2014","Lower_Bound_Year2015","Lower_Bound_Year2016","Lower_Bound_Year2017","Lower_Bound_Year2018","Lower_Bound_Year2019","Lower_Bound_Year2020","Lower_Bound_Year2021","Lower_Bound_Year2022","Lower_Bound_Year2023","Lower_Bound_Year2024","Lower_Bound_Year2025","Lower_Bound_Year2026","Lower_Bound_Year2027","Lower_Bound_Year2028","Lower_Bound_Year2029","Lower_Bound_Year2030","Upper_Bound_Year2000","Upper_Bound_Year2001","Upper_Bound_Year2002","Upper_Bound_Year2003","Upper_Bound_Year2004","Upper_Bound_Year2005","Upper_Bound_Year2006","Upper_Bound_Year2007","Upper_Bound_Year2008","Upper_Bound_Year2009","Upper_Bound_Year2010","Upper_Bound_Year2011","Upper_Bound_Year2012","Upper_Bound_Year2013","Upper_Bound_Year2014","Upper_Bound_Year2015","Upper_Bound_Year2016","Upper_Bound_Year2017","Upper_Bound_Year2018","Upper_Bound_Year2019","Upper_Bound_Year2020","Upper_Bound_Year2021","Upper_Bound_Year2022","Upper_Bound_Year2023","Upper_Bound_Year2024","Upper_Bound_Year2025","Upper_Bound_Year2026","Upper_Bound_Year2027","Upper_Bound_Year2028","Upper_Bound_Year2029","Upper_Bound_Year2030"
"TCD",9793649.66785753,"No MDA",0.506894618834953,0.509743909376724,0.510716864988296,0.515606137044845,0.516394179762203,0.518002757994886,0.524466580756565,0.537935807195579,0.554982160295437,0.571687745117745,0.590669552157008,0.607953298883999,0.627022763464768,0.650490289336997,0.669837543931691,0.687954899780218,0.733088744682587,0.755836433681215,0.764027839032856,0.775023582269036,0.786355347543484,0.798182015429474,0.809729970872305,0.820173900255455,0.830742491111252,0.840281477791375,0.84935322250766,0.858344895680516,0.86684514145235,0.87426627399957,0.881400541325765,0.04641342859783,0.0463458302427557,0.0462743759207038,0.0462225327632657,0.0461430405666606,0.0460864128244116,0.0459852610683453,0.0450958861685959,0.0435383052586872,0.0419069146566771,0.0401910686333108,0.0384370717726617,0.0367919341735786,0.034706063961074,0.0326233576717899,0.0310423141884873,0.0291751780374755,0.0257168005412059,0.0234483169959849,0.0219057285260312,0.0202850266934156,0.0188265598286918,0.0174092061551252,0.0160610100186209,0.0148828752434636,0.013760073191636,0.0127073038295638,0.0117940486371715,0.0109276181619773,0.0101155279621339,0.00941482056270918,0.00810581689486786,0.00812764219386336,0.00815071321418017,0.00817742329737946,0.00819638208750483,0.00821965438853627,0.00823414127784729,0.00810566089651847,0.00782823047212429,0.00752281241241106,0.00719347639121391,0.00685608012757136,0.00653179702885402,0.00612133602235763,0.00569741122973807,0.00536344037949793,0.00498869694255249,0.00440549941699136,0.00391394773740869,0.0035178210369274,0.00313385545455172,0.00279093862418519,0.00246715958021743,0.00217133622332417,0.00191277603640141,0.00167971164447793,0.00146289884048639,0.00127931318037625,0.00111178640481246,0.000960801437580596,0.000829740552292962,0.135770347945225,0.135161263432479,0.134648522787681,0.134072079909162,0.133442776256316,0.132986384388621,0.132373232880323,0.129736587794748,0.125320982802505,0.121072507691354,0.116394810171559,0.111614521700445,0.107255232235665,0.101713113099121,0.0962392076705185,0.0920784945622236,0.0871268739495981,0.0770058006879009,0.071139945442919,0.0674150328813231,0.0634534851246268,0.0598091474551493,0.0562121128457516,0.0527762918738153,0.049676483251058,0.0466880710169854,0.043907139837185,0.0414585621226397,0.0390978875785266,0.0368538830007484,0.0349649308963225
"SDN",23034566.2522203,"No MDA",0.419944384106637,0.423727538278716,0.423537289073327,0.423517172491314,0.426188270770033,0.427365895839987,0.427936878471963,0.428700671694526,0.434758696731287,0.446459369771082,0.46427133110047,0.481574701802046,0.508221856068735,0.535956057678059,0.569450497753537,0.603350138527521,0.643387495507093,0.669090615395613,0.697045468338862,0.724896025825404,0.748000240544367,0.772105779228582,0.793575879185192,0.813794061419992,0.831444021452522,0.848565141229096,0.864914637904691,0.879189250008113,0.892302090873257,0.903022222405478,0.913574486268816,0.0308709834328064,0.0307827741710028,0.0307139734326871,0.0306578191017145,0.0305815300250947,0.0305035919091519,0.0304148688978735,0.0303042545619801,0.0301976894417212,0.0296550947319494,0.0284927902299097,0.0271435292948456,0.0258650258818503,0.0242083699752049,0.0222529388525447,0.0203880539649244,0.0185718308342059,0.0168009775112702,0.0153692207138437,0.0139821112442344,0.0126809754675119,0.0115600927512797,0.0105093512734401,0.00954011970877034,0.00870820307426432,0.00793688011404853,0.00722270033710362,0.00661376742309547,0.00604373235156169,0.00551735555838543,0.00507090195597742,0.000950877701393884,0.000956321173282206,0.000959239570566196,0.000968515725115973,0.000975094803720363,0.000985239829753059,0.000990109969289476,0.000999882211429242,0.00099767347169531,0.000988423129315049,0.000956367876007367,0.000911918120201357,0.000877146920669052,0.000823613761825837,0.000754830397198162,0.000680036156892187,0.000607203035477976,0.000542859743740064,0.00046383430141746,0.000392907885796191,0.000331958169190749,0.000281357041641651,0.000237020424299753,0.000198263655205177,0.000167848157330454,0.000140210667212315,0.000115933405961045,9.68698818098397e-05,7.96887483528643e-05,6.41225197853449e-05,5.14587195834357e-05,0.136924545908472,0.136470608357973,0.136146732301776,0.135812186711515,0.135456339752336,0.135091282525033,0.134683540102833,0.134248374964957,0.13388667622171,0.131302971875614,0.126325058629434,0.120762983326706,0.115580687614871,0.108635958267099,0.100455987147102,0.092846652460946,0.0853264102901814,0.0779869156717251,0.0719897391392339,0.0661033979677769,0.0605439577379635,0.0557260010332954,0.0511652288040087,0.0469186098999335,0.0432478857085501,0.0398073407468592,0.0366080406889052,0.0338730355802191,0.0312847174653392,0.0288616537601399,0.0268462055468237
"MRT",2688698.19378155,"No MDA",0.709432812512782,0.711988459717442,0.715370146234948,0.716124919440243,0.7198835075844,0.724881708641917,0.728917137238434,0.735146098526835,0.747351350269041,0.760856444839949,0.774293716299407,0.790558351847757,0.810318723034409,0.827997364344437,0.845497221953873,0.861900357484266,0.879905914603839,0.881337724727914,0.885529584768714,0.889138757899219,0.894501918100688,0.897287233750004,0.901539682583652,0.905158832640173,0.909041787505779,0.911808854712366,0.914659895495894,0.91769246761043,0.920441228149499,0.924392317387348,0.927578619047287,0.0133145870889069,0.0132086987054111,0.0131045642120092,0.0130141185479081,0.0129366066901332,0.0128471376833231,0.0127327658929474,0.012607427564821,0.0122972985879574,0.0117987772000564,0.0113512629642215,0.010920577112746,0.0103568346021805,0.00976047907593617,0.00914139629453069,0.00855658465888166,0.00798892069910338,0.00735943703821518,0.00707466387321016,0.00671843263831807,0.00638686511292811,0.00610866828788374,0.00582741414564157,0.00555229763243077,0.00531007309575447,0.0050789594111581,0.00486358979916459,0.00467644241199289,0.00446741166280941,0.00428544787158097,0.0041196546147944,0.00103755729443358,0.00104290255706958,0.00105169398901055,0.00105867986364975,0.00106631476863165,0.00107809999084867,0.00108651093956449,0.00109514060750994,0.00108794127987073,0.00106274773833492,0.00103817494920406,0.00101399637954839,0.000981156525038524,0.000941514535798087,0.00089777097374017,0.000854185328172882,0.00081215160275591,0.000782828305242448,0.000708525774414895,0.000647424090038526,0.000587057119451739,0.000534844514210114,0.000486148763724079,0.000440617845730902,0.000393872474835491,0.000355253390081158,0.000315982395241678,0.000280318341795629,0.00024631666602407,0.000212643851511758,0.000186745610503505,0.0474524159223214,0.0466745103998316,0.0458891195341342,0.0452246138802402,0.0447754636577427,0.0441900555190772,0.0435796246123333,0.0427551473925146,0.0415053521437436,0.0396824546632215,0.0377565369733033,0.0361500250323211,0.0339359357294399,0.0318462232865037,0.0296102544471399,0.0275297905774501,0.0254134510877907,0.0228227100829625,0.0227648352229945,0.021982483300047,0.0213059176445409,0.0207334149705818,0.0201870821607067,0.0196067140100109,0.019134708257118,0.0185810431435755,0.0182258144971337,0.0178554001594086,0.0174606664864145,0.0171035738261837,0.0167235306480074
"MLI",11740907.6067538,"No MDA",0.0164700446593461,0.016226637212875,0.0160641416664583,0.0158823489777035,0.0157388150922135,0.0177518681918913,0.0234695354320012,0.0341804075251537,0.0469741955881699,0.0960806207489087,0.16934924883031,0.265863586281034,0.230887684333577,0.242414236256845,0.288216379411117,0.426751853643783,0.543827461164104,0.630507487188827,0.62241373582715,0.640118849658852,0.662133956142777,0.686204405575949,0.710112844113085,0.730676898128333,0.750457754653364,0.768817607242722,0.784310341710242,0.798745693964552,0.811967127390957,0.822977951804967,0.833387566458712,0.189577517137585,0.189629038512567,0.189809279334092,0.189970921260121,0.190120735243606,0.190246117421103,0.184602198002282,0.164856089011421,0.137014296409294,0.126583416258963,0.0879446175641467,0.0652734381803842,0.0504235949908942,0.0533417396537703,0.0524084088789267,0.0490736025368124,0.0376446219701637,0.0288360371137933,0.0234132137156835,0.0229626297321326,0.0216606502208398,0.0202748114922222,0.0188395709372293,0.0174422468077557,0.0162122152580196,0.0150501826667488,0.0139673052182149,0.0130491291383691,0.0121889614531169,0.0113965027494828,0.0107370215734394,0.0538451889810696,0.0541533168843258,0.0544956736684262,0.0548041515391246,0.055105733641943,0.0553761554229833,0.0530095428482399,0.0458454906040993,0.0347424024736751,0.0319912365630119,0.0186871506372731,0.0126412812357223,0.00928075082374406,0.00993447293214476,0.00928350356878776,0.00827133506190274,0.00600852683708137,0.00437267583806309,0.00345818747777787,0.00316655320130379,0.0027665919593963,0.00239604529143005,0.00205027218877083,0.00173941956223804,0.00148191717267829,0.00125691652634669,0.00106076664685449,0.0009042130942253,0.000770487727288993,0.000653948318792872,0.00056298263772888,0.430179197707012,0.430031309917589,0.430115546431085,0.43015762710312,0.430266290015717,0.4303332380603,0.422778183713883,0.390275899579639,0.347316062414518,0.324971622328093,0.253653378804275,0.201974940624981,0.161806884084913,0.163792120867396,0.163496019182344,0.157124444943383,0.127682658343207,0.102059516385202,0.0840769963137457,0.0823253143624727,0.0797294039112366,0.0768989774160211,0.0738630765577221,0.0708214740311076,0.067977717548845,0.0653161366426861,0.0628412231171407,0.0606532980070055,0.058656878539716,0.0568460193097862,0.0553726876318513
"NER",13364895.1219675,"No MDA",0.223998681706643,0.224220381417575,0.224437770709214,0.224894624851303,0.225151237285887,0.225508877857913,0.226411104652861,0.260802920039804,0.275549092134773,0.350474233708814,0.426148047630879,0.4616154214027,0.570705341946667,0.627933252036451,0.702623493959825,0.770431773950863,0.770405290097924,0.787278684661333,0.809993862637223,0.832799553934666,0.85307901419863,0.871672264291358,0.888279006570059,0.902105372179621,0.91378122246519,0.923985165386281,0.931855864089244,0.938903029946684,0.945075803635221,0.949838578011906,0.954319800354999,0.062955959460188,0.0629005809183054,0.0628945638534463,0.0628826407765664,0.0628577404459307,0.0628242209387712,0.0627462029582021,0.0626492059810967,0.0555448980096116,0.0494443226500464,0.0365305453209286,0.0255446890001722,0.0234764837861461,0.0163996523305816,0.0142614826628112,0.0115371592075722,0.00905863401235808,0.00896820371456899,0.00842997413227883,0.00776049509870796,0.00707179368026229,0.00644284123792094,0.00584668505865328,0.00529220575484218,0.00481371710540909,0.00437174584253964,0.00396583124102044,0.00362207285941327,0.00330388171625593,0.00301501619625991,0.00277064021020495,0.0122599833654664,0.0123126868527493,0.0123830278300823,0.0124512305247968,0.0125192396581653,0.0125746370902662,0.0126284073344961,0.0126889481411686,0.0109891593419136,0.00953009439149447,0.00627530650921515,0.00364613229187745,0.00330789510572512,0.00181883202225379,0.00144017801384359,0.000976019495889486,0.000643374653066013,0.000580734939059365,0.000486242890088638,0.000395782340945678,0.000319696483786541,0.000253852347113776,0.000194365674881945,0.000152568932534835,0.000125533901107963,0.000101933799289355,8.19885085635353e-05,6.67251320123805e-05,5.24150410591283e-05,4.13441882815808e-05,3.37980208859017e-05,0.179621971246477,0.179398148090595,0.179294325164677,0.179172861845646,0.17906581951825,0.178958640116473,0.178763168247559,0.178511569742356,0.162320142310298,0.147304634801771,0.117161858196951,0.0889376468969248,0.0811313099741943,0.0622257151299525,0.0553596341426907,0.0466597663651784,0.0377529043295137,0.0368300080471795,0.0353071956150274,0.033419445674304,0.0314162328175533,0.0295156410322254,0.0276620418873957,0.0258797665332627,0.0242870638248529,0.0227736879064927,0.0213611813022735,0.0201016229261059,0.0188980647227131,0.0177813777652161,0.0168042986667374
"ERI",3845240.34223393,"No MDA",0.883589024615733,0.88366873975165,0.884511352083176,0.887542101582812,0.88768649071255,0.891748663539129,0.897751514750993,0.902134957919111,0.906107630973227,0.910815656092191,0.922327269936183,0.93981559795606,0.958893982722858,0.975451975573339,0.986776718501128,0.993686590944755,0.99845530396996,0.998589418129147,0.999065298982523,0.999320541271912,0.999538822882567,0.999645937005189,0.999770626849859,0.9998119835179,0.999864060820742,0.999899204790298,0.999931694267389,0.999947917908337,0.999962797466647,0.999972716457664,0.999979721043106,0.0049965507825801,0.00493356042599196,0.00489231393830818,0.00482522469795124,0.00477292638940338,0.00471829060874067,0.00466536356817687,0.00459953010881118,0.0045201761988226,0.00444087566660008,0.00431637240793266,0.00410286418689776,0.00383307431428552,0.00351725438048709,0.00318111232440979,0.00287773272831997,0.0025338236977243,0.00214618168071668,0.00193290365400959,0.00170301331888707,0.00149198283153899,0.00132231552458228,0.00116931543830974,0.00103644561130293,0.00093332235539027,0.000838810832537088,0.000750561042758599,0.00068162812111692,0.000620640549166806,0.000562491682469919,0.000511761111080144,1.37532772778458e-05,1.2358357595771e-05,1.03641229425877e-05,1.04443291786264e-05,1.04348450729686e-05,1.01300243828937e-05,9.79527461507996e-06,9.54135896527532e-06,9.75105500020315e-06,9.05236935486381e-06,8.96168107466576e-06,9.06562283290521e-06,9.29660550445683e-06,9.63279877787384e-06,9.45012504831915e-06,9.18424935764317e-06,9.35403073200545e-06,9.59093958272154e-06,1.02821617223658e-05,1.01061862769151e-05,9.94337394161983e-06,1.0066266492597e-05,1.01468830921576e-05,9.90851011309989e-06,1.10000675895249e-05,1.00735441101956e-05,9.26970989056996e-06,8.83393097480048e-06,9.29585600677128e-06,8.81815693198045e-06,8.57360679390346e-06,0.0186397769092411,0.01842286590711,0.018013849578599,0.0175410171305041,0.0170942320162306,0.0166587302926066,0.016150100089063,0.0159259013508739,0.0155039690699574,0.0150387369344453,0.01449141869673,0.0135656911777691,0.0124114597774065,0.0110362115327223,0.00965229405687792,0.00836037458964239,0.00703595607238259,0.00531670754221589,0.00517620606848726,0.00469125635811424,0.00437832678316116,0.0040412471134808,0.00377037397690885,0.00351374899940298,0.00329581216211702,0.00310260121643251,0.00289910080974733,0.00277029018754368,0.0026172984758176,0.00247188016828802,0.00235408925360157
"SEN",7677945.40621628,"No MDA",0.429018110806177,0.429210362280483,0.430075410772296,0.430947994796975,0.43176645593569,0.433420078123237,0.434556696643215,0.445169707996925,0.462144530535227,0.473594748231015,0.480351919115995,0.490514539640987,0.510445744181874,0.55644040938522,0.598616988556282,0.662929814078796,0.753494662584549,0.805385363958679,0.804273765458944,0.816267734806239,0.828476825360198,0.841610406092877,0.854419516525361,0.865992935156387,0.876928982109615,0.887877492248801,0.897147272758503,0.90636468790881,0.914848137216645,0.922403962793363,0.929150205352459,0.0445744068833494,0.0445286098471233,0.0445149777946329,0.0444955012056571,0.0444699135322669,0.0444454327811083,0.0443847505846955,0.0443163835215624,0.0389796369398347,0.0354329005562586,0.0338774842708508,0.0341034925353678,0.0335729043957592,0.0319355902500118,0.0284543534350736,0.0261228490740138,0.020298089770168,0.0137099778225327,0.0102795405917292,0.0103919188172589,0.00981038632750784,0.00912984777570128,0.00840852606596035,0.00770064768654962,0.00707719254344549,0.00649096758489435,0.00594402071434134,0.00548012092601434,0.00504547717592828,0.00464548075533756,0.00430739656557718,0.010334003783751,0.01038542030729,0.010447562686937,0.0105050138159595,0.0105681124983663,0.0106157087827557,0.0106631221487297,0.0107089440863237,0.00849167052919732,0.00742768962791056,0.00704082122630821,0.00710377311626659,0.00695788588762114,0.00657829288530113,0.00581639436835323,0.00528878775757738,0.00356414385435294,0.00194358314375866,0.00122647556496349,0.00123020374001508,0.0010857754886388,0.000935543478153058,0.000785885838528323,0.000647373380126095,0.000521661099836887,0.000415288542522656,0.000323115941742734,0.000252706379662945,0.000193801543504414,0.000146867397338526,0.000110776541326867,0.11102545801539,0.110668270880303,0.110404240629721,0.110122993793353,0.10984286786393,0.109568564784912,0.109238728624489,0.108906638330641,0.10060623177886,0.093746235748395,0.0902918065860394,0.0903205229651031,0.0891394924661672,0.0852667620497406,0.0772449062679687,0.071310854089763,0.0587096264200453,0.0434414249450128,0.0342814658709288,0.0337443959970099,0.0323584112834392,0.0307557365662614,0.0290436377671765,0.0273404025600615,0.0257973709760838,0.0243293028397574,0.0229628354909384,0.0217804600183465,0.020674220185999,0.0196709055607488,0.0188079967461841
"BFA",11512843.7565665,"No MDA",0.00522237541531595,0.00511095442741742,0.00498668405757619,0.0106988730308062,0.0231124383408718,0.0542800713587195,0.101117324569654,0.166572630577514,0.259889246013747,0.372218252038089,0.331396868135243,0.499590293733738,0.60803102551246,0.667960370964821,0.708877467112982,0.740392529800275,0.768452641313097,0.79193788675829,0.804973110857222,0.817492142724526,0.828513645084483,0.838617139493679,0.847729744552416,0.855167725229384,0.861808725912589,0.867879356770955,0.872976597259823,0.877879225867224,0.882614559097309,0.886619374883635,0.890835986454654,0.219643707253674,0.219715334635602,0.215522208211862,0.200385643791597,0.173698804756365,0.149611173872811,0.115228761412663,0.0926732859562104,0.0764708054873407,0.0610976565838942,0.0494422516669776,0.0512507631219586,0.0397785526604524,0.0331781503482672,0.0291325942644994,0.0261051154008958,0.023470037186095,0.0208850403630322,0.0188673176833335,0.0176397662540154,0.0163183401824987,0.0151107297125777,0.0139430550474685,0.0128396935614103,0.0118821788359078,0.0109785245954108,0.0101399890017596,0.00942684027803848,0.00875580186454097,0.00813739691219022,0.0076169827001659,0.0710940297870974,0.0713182936885106,0.0693321982733567,0.0613877336745484,0.0502339327536702,0.0413659465163232,0.0283859417970295,0.0214961610782928,0.0173764956898547,0.0135982574480735,0.0111479397665408,0.0113944895212462,0.00900807785157032,0.00775143494675577,0.006979061056461,0.00628173800086415,0.00558938185063274,0.00480913639297496,0.00422007130439835,0.00380800259612795,0.00339171459943518,0.00301452744820666,0.00266013494046491,0.00233395186799898,0.00205297023123582,0.00180139801087697,0.00157019180275053,0.0013733899511646,0.00119155969134647,0.00103059612367148,0.000895256339156671,0.470111882316252,0.470024103060169,0.464599679333767,0.446317805850739,0.405779255690954,0.365008286508753,0.303911324501188,0.257690176962421,0.219458149433916,0.180226619643189,0.146815717728492,0.14980791868352,0.120362573136709,0.0991975865440445,0.0849378438259748,0.0749085917653278,0.0675186083699747,0.0612073076974592,0.0561968040063079,0.0536070044531001,0.0508900372234452,0.0483116370032307,0.0457518347373491,0.0432478651650105,0.0409718466425202,0.0387787338989673,0.0367294076871523,0.0348827722043108,0.0331502399027003,0.0315840779853182,0.0302403064872171
"ETH",66179525.4017552,"No MDA",0.918406475562302,0.919134595822347,0.920709630592056,0.924235019483724,0.922413577335001,0.924834415356907,0.927973860177847,0.927517114255614,0.930818070209265,0.936378490344203,0.939067245951899,0.946472403895701,0.956006179050474,0.962424521601643,0.96916245597409,0.973809333793873,0.978539410621794,0.98082856813075,0.981326416563787,0.982105762975394,0.983012417542603,0.984028704692457,0.985006758799179,0.985863819809396,0.98676358791144,0.987737363233113,0.988539723852523,0.989124768061958,0.98973672126684,0.990354043002436,0.990804069630675,0.00590243123790995,0.00587339069834744,0.00583979191717171,0.00579900797083299,0.00574884182815679,0.00570560302581812,0.00564425419355369,0.00561035759713967,0.00556128994167691,0.00550660776069662,0.00535428711799803,0.00519655519695761,0.00495536723964535,0.00446390333618235,0.00425346532996755,0.00384052779667112,0.00345216247516387,0.00308881381014758,0.00286951028089551,0.00274996104456369,0.00262748868855834,0.00250516588274468,0.00239312390926685,0.0022702972143756,0.0021645027600741,0.00206576475536757,0.00196429001685093,0.00188353339101008,0.00180490445560693,0.00172459736502891,0.00166200538463112,0.000374279458756239,0.00037668863430348,0.000378071270890388,0.000383340131654728,0.00038656347948871,0.000390883429936743,0.000393166667825317,0.000398170446682894,0.000402005140439383,0.000405349524056861,0.000372545641455406,0.000356528138382882,0.000340174534295763,0.000246889768331109,0.000248066750938968,0.000195099050050046,0.00015174866165298,0.00012172293001864,0.000102744726555756,0.000101117409432386,9.55346260374523e-05,9.0075556905446e-05,8.43623228737577e-05,7.98031506569992e-05,7.56199841045032e-05,7.13416920509202e-05,6.74643606755838e-05,6.44590099630829e-05,6.17320789511936e-05,5.79348156316914e-05,5.42765950302648e-05,0.017270609188664,0.0172679635377459,0.0170852154064173,0.0169360846946546,0.0167162053517401,0.0166554344307509,0.0163720734359541,0.0161652338607791,0.0160013162951411,0.015657916160696,0.0151177194293094,0.0145688941482784,0.0138331639516091,0.0122910334958449,0.0114503956180646,0.0101510084436028,0.00910448434073599,0.00774486045392787,0.00749787788110231,0.00733842191754786,0.00711780427893676,0.00685673991537575,0.0066064510811934,0.00644716314118391,0.00631490000957176,0.00617179723900337,0.00592072805362921,0.00590381750992083,0.00561516521010295,0.0055282367591687,0.00541538675971086
"NGA",73595857.3067087,"No MDA",0.214654180546687,0.21591872985025,0.217852736563157,0.222000481544463,0.227109499561055,0.234367400509985,0.241920569105396,0.247959268101201,0.255443106305645,0.261988721334704,0.279220616442128,0.303485194327781,0.310622796693389,0.353869498422079,0.410764618404678,0.481233477828754,0.556800278643317,0.616878332594429,0.615607748497675,0.630403795226666,0.647830229266956,0.666873653063419,0.686763254959514,0.704440730118157,0.722610072871164,0.740608322039695,0.757310473720108,0.772596034235609,0.786342523268498,0.798435861830431,0.811918817059806,0.047976067077717,0.0475357274441907,0.0469787390893236,0.046150381420423,0.0451752777669884,0.0441949856065343,0.0435291755299739,0.0430554627306911,0.0427223439909407,0.0422403250698691,0.0415342787177876,0.0394369558614236,0.0356211161521389,0.0346100875287219,0.0302282518230575,0.0256705509720117,0.0211179131750053,0.0178436590585313,0.0156459047346273,0.0153798638207099,0.0146961781934392,0.0139860267973859,0.0132527882547888,0.012538465335568,0.0119023427723694,0.0112870975101101,0.0107048180619531,0.0101977359478963,0.00971164840246323,0.00925288455272678,0.0088588160996325,0.0104632851316788,0.0103641138987199,0.010249741682338,0.0100416625295342,0.00979614007416745,0.00955786530637705,0.00942914824023044,0.00936809376821801,0.00932784194355003,0.009252059464957,0.00910104772413718,0.00864520812941577,0.00766088931497422,0.00745016916073878,0.00632984338794727,0.00515325666380977,0.00405515398669861,0.00328814850337265,0.00277374800287646,0.00262056593744119,0.0024100260737288,0.00220709104934649,0.00201058440388297,0.00182489183402374,0.00165573785475872,0.00150376923452056,0.00135565233561038,0.00122111022534011,0.00109767641257038,0.000981022326896614,0.000875313789570594,0.126943686769781,0.125972648814685,0.124598905974054,0.122673933872874,0.120474306072372,0.118181936397877,0.116404679051187,0.1150034123445,0.114011398577257,0.112734948910762,0.11098503400621,0.105601210591212,0.0964893831698876,0.0937296389464278,0.0836192605584166,0.0727200209003313,0.0612676613902489,0.0528339096912315,0.0470127364785059,0.046314677432254,0.0449635375801862,0.0435305240955426,0.0420211429632715,0.0405339545696716,0.0392346138921903,0.0379756202978455,0.036798794747011,0.0358114366194353,0.034861047368755,0.0339711991623935,0.033257175294828
