IUID,Endemicity,Population,Regime,Probability_of_elimination_by_2000,Probability_of_elimination_by_2001,Probability_of_elimination_by_2002,Probability_of_elimination_by_2003,Probability_of_elimination_by_2004,Probability_of_elimination_by_2005,Probability_of_elimination_by_2006,Probability_of_elimination_by_2007,Probability_of_elimination_by_2008,Probability_of_elimination_by_2009,Probability_of_elimination_by_2010,Probability_of_elimination_by_2011,Probability_of_elimination_by_2012,Probability_of_elimination_by_2013,Probability_of_elimination_by_2014,Probability_of_elimination_by_2015,Probability_of_elimination_by_2016,Probability_of_elimination_by_2017,Probability_of_elimination_by_2018,Probability_of_elimination_by_2019,Probability_of_elimination_by_2020,Probability_of_elimination_by_2021,Probability_of_elimination_by_2022,Probability_of_elimination_by_2023,Probability_of_elimination_by_2024,Probability_of_elimination_by_2025,Probability_of_elimination_by_2026,Probability_of_elimination_by_2027,Probability_of_elimination_by_2028,Probability_of_elimination_by_2029,Probability_of_elimination_by_2030,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Prev_Year2019,Prev_Year2020,Prev_Year2021,Prev_Year2022,Prev_Year2023,Prev_Year2024,Prev_Year2025,Prev_Year2026,Prev_Year2027,Prev_Year2028,Prev_Year2029,Prev_Year2030,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Lower_Bound_Year2019,Lower_Bound_Year2020,Lower_Bound_Year2021,Lower_Bound_Year2022,Lower_Bound_Year2023,Lower_Bound_Year2024,Lower_Bound_Year2025,Lower_Bound_Year2026,Lower_Bound_Year2027,Lower_Bound_Year2028,Lower_Bound_Year2029,Lower_Bound_Year2030,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018,Upper_Bound_Year2019,Upper_Bound_Year2020,Upper_Bound_Year2021,Upper_Bound_Year2022,Upper_Bound_Year2023,Upper_Bound_Year2024,Upper_Bound_Year2025,Upper_Bound_Year2026,Upper_Bound_Year2027,Upper_Bound_Year2028,Upper_Bound_Year2029,Upper_Bound_Year2030
TCD10760,Non-endemic,2519.71413570317,Enhanced coverage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN53289,Unknown,122127.522051785,Enhanced coverage,0.49581,0.50077,0.50272,0.50115,0.50655,0.50681,0.51221,0.51178,0.51964,0.53841,0.56069,0.58137,0.61174,0.65134,0.69775,0.74913,0.80602,0.83095,0.96248,0.98637,0.99476,0.99826,0.99947,0.99981,0.99992,0.99997,0.99999,0.99999,1,1,1,0.01515,0.01502,0.01487,0.01474,0.0146,0.01445,0.01429,0.01412,0.01394,0.01361,0.01291,0.01214,0.01135,0.01048,0.00946,0.00846,0.00753,0.00658,0.00601,0.00252,0.00145,9e-04,0.00056,0.00035,0.00023,0.00015,1e-04,6e-05,4e-05,2e-05,1e-05,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064065,0.06335,0.06253,0.061395,0.060315,0.05914,0.05815,0.05738,0.05644,0.054715,0.051975,0.048785,0.045515,0.041875,0.03778,0.03383,0.03029,0.02647,0.02445,0.011935,0.00768,0.00527,0.00348,0.00293,0.00203,0.001215,0.000795,0.00052,0.000335,0.00021,0.000125
MRT31082,Non-endemic,8464.81651861849,Enhanced coverage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRT31083,Non-endemic,43381.4748504199,Enhanced coverage,0.74263,0.74652,0.74575,0.74681,0.74803,0.74693,0.75264,0.75663,0.76719,0.78168,0.79494,0.81277,0.83489,0.85524,0.8716,0.88554,0.9005,0.90839,0.98537,0.99681,0.99962,0.9999,0.99995,0.99998,0.99999,0.99999,0.99999,1,1,1,1,0.00822,0.00817,0.00815,0.00811,0.00807,0.00802,0.00796,0.00793,0.00777,0.00749,0.0072,0.00694,0.0066,0.00622,0.00584,0.00547,0.00511,0.00475,0.0045,0.00171,0.00091,0.00051,0.00029,0.00017,9e-05,5e-05,2e-05,1e-05,1e-05,0,0,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,2e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,0,0,0,0,0,0,0,0,0.037675,0.037415,0.03706,0.036795,0.03647,0.036195,0.035965,0.03577,0.035025,0.033605,0.032305,0.031135,0.02959,0.02798,0.026185,0.02462,0.023015,0.02152,0.020305,0.007865,0.004195,0.002405,0.00157,0.00103,0.00065,0.00047,0.000245,9.5e-05,4e-05,1.5e-05,5e-06
MLI30034,Requiring PC,91777.6705097673,Enhanced coverage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCD10738,Non-endemic,20710.2962387845,Enhanced coverage,0.55998,0.56177,0.56095,0.56595,0.56984,0.57087,0.58205,0.59993,0.62479,0.64565,0.67395,0.7006,0.73634,0.7822,0.81984,0.85956,0.91313,0.92327,0.99158,0.99797,0.99957,0.99992,0.99998,0.99999,1,1,1,1,1,1,1,0.01179,0.01163,0.01149,0.01136,0.01121,0.01105,0.01092,0.01056,0.01003,0.00943,0.00881,0.00816,0.00756,0.00691,0.00622,0.00564,0.00504,0.00442,0.00408,0.00169,0.00098,0.00061,0.00039,0.00026,0.00017,0.00011,7e-05,5e-05,3e-05,2e-05,1e-05,5e-06,5e-06,0,0,1.5e-05,5e-06,1.5e-05,1.5e-05,5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046245,0.04479,0.04388,0.043135,0.04227,0.04095,0.040095,0.038175,0.03595,0.03351,0.0309,0.028345,0.02586,0.02329,0.020745,0.018445,0.01604,0.013195,0.013005,0.007125,0.0047,0.003415,0.00274,0.00202,0.001355,0.00091,0.000625,0.00043,0.000275,0.00016,9e-05
SDN53285,Unknown,85007.5096324187,Enhanced coverage,0.47295,0.4765,0.47687,0.47565,0.48004,0.4808,0.48552,0.48569,0.49398,0.51292,0.53288,0.55366,0.58683,0.62783,0.67875,0.73595,0.79622,0.82424,0.96604,0.9892,0.99635,0.99903,0.9998,0.99995,0.99998,0.99999,1,1,1,1,1,0.01514,0.01501,0.01488,0.01474,0.01459,0.01442,0.01426,0.01409,0.01392,0.01357,0.01285,0.01209,0.0113,0.01041,0.0094,0.00839,0.00746,0.00652,0.00596,0.00249,0.00143,0.00088,0.00055,0.00035,0.00023,0.00015,1e-04,6e-05,4e-05,2e-05,1e-05,0.00011,0.000115,0.000125,0.00013,0.000125,0.000135,0.000135,0.000155,0.00016,0.000155,0.00016,0.00016,0.00015,0.00015,0.000145,0.000125,1e-04,1e-04,5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.05868,0.0581,0.05728,0.055975,0.05468,0.05324,0.05221,0.05132,0.050485,0.048515,0.04583,0.042895,0.039775,0.03639,0.032475,0.02877,0.02549,0.021745,0.02037,0.010465,0.00709,0.004745,0.00349,0.00287,0.001815,0.001185,0.000795,0.000515,0.00033,0.000205,0.00012
SDN53295,Requiring PC,280476.899763305,Enhanced coverage,0.48289,0.48908,0.4922,0.49313,0.49869,0.49884,0.5004,0.50342,0.51169,0.52713,0.55028,0.56917,0.59494,0.63413,0.6747,0.71758,0.76624,0.79209,0.94532,0.97919,0.9923,0.99756,0.9993,0.99974,0.99989,0.99995,0.99998,0.99999,0.99999,1,1,0.01704,0.01694,0.01683,0.01668,0.01654,0.0164,0.01624,0.01608,0.01591,0.01555,0.01481,0.01397,0.01312,0.01214,0.011,0.0099,0.00886,0.00781,0.00711,0.00296,0.00168,0.00102,0.00063,0.00039,0.00025,0.00016,1e-04,7e-05,4e-05,3e-05,2e-05,5e-06,5e-06,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07907,0.078395,0.0777,0.076605,0.075865,0.075075,0.074555,0.07379,0.07296,0.071035,0.06761,0.06382,0.059995,0.055575,0.05053,0.04563,0.041165,0.036615,0.033405,0.01505,0.00918,0.006035,0.003725,0.002715,0.0022,0.00142,0.000915,0.000595,0.000375,0.000225,0.00013
MRT31036,Non-endemic,57432.7857146216,Enhanced coverage,0.78768,0.79102,0.79176,0.79699,0.80319,0.80491,0.81155,0.81792,0.83138,0.84793,0.86458,0.87933,0.89824,0.91816,0.93614,0.95434,0.97374,0.9702,0.99817,0.99967,0.99997,0.99999,1,1,1,1,1,1,1,1,1,0.00689,0.0068,0.00669,0.00656,0.00645,0.00633,0.00623,0.00612,0.00592,0.0056,0.0053,0.00501,0.00467,0.00432,0.00395,0.00359,0.00327,0.00287,0.00283,0.00115,0.00066,4e-04,0.00025,0.00015,9e-05,5e-05,3e-05,1e-05,1e-05,0,0,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,0,0,0,0,0,0,0,0.02902,0.028325,0.02771,0.026635,0.026185,0.025245,0.02452,0.02411,0.02293,0.02136,0.019715,0.018615,0.0169,0.015345,0.01377,0.01213,0.01073,0.00875,0.00923,0.004745,0.003185,0.00246,0.001745,0.00115,0.00077,0.000485,0.00026,0.000125,5e-05,1.5e-05,5e-06
MRT31051,Non-endemic,39354.8326693885,Enhanced coverage,0.70097,0.70298,0.7029,0.70754,0.71272,0.71489,0.72177,0.72804,0.74375,0.76042,0.77815,0.79313,0.81367,0.83541,0.85687,0.87966,0.90453,0.90397,0.98107,0.99319,0.99737,0.99876,0.99928,0.99975,0.99992,0.99997,0.99999,0.99999,0.99999,0.99999,1,0.01046,0.01037,0.01026,0.01013,0.01,0.00988,0.00977,0.00964,0.00936,0.00893,0.00854,0.00815,0.0077,0.0072,0.00669,0.00619,0.00574,0.00522,0.00505,0.00194,0.00104,0.00058,0.00035,0.00021,0.00012,7e-05,4e-05,2e-05,1e-05,1e-05,0,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05,0,0,1.5e-05,1.5e-05,0,0,0,0,0,0,0,0,0,0,1e-05,1e-05,0,0,0,0,0,0,0,0,0,0.05417,0.05341,0.05266,0.051505,0.050705,0.04996,0.04921,0.04853,0.046915,0.044625,0.042585,0.04103,0.038465,0.03593,0.033475,0.031015,0.02893,0.026285,0.025465,0.010075,0.00562,0.00348,0.00243,0.00147,0.000945,0.000595,0.00034,0.00017,8e-05,3.5e-05,1e-05
