IUID,Endemicity,Population,Regime,Probability_of_elimination_by_2000,Probability_of_elimination_by_2001,Probability_of_elimination_by_2002,Probability_of_elimination_by_2003,Probability_of_elimination_by_2004,Probability_of_elimination_by_2005,Probability_of_elimination_by_2006,Probability_of_elimination_by_2007,Probability_of_elimination_by_2008,Probability_of_elimination_by_2009,Probability_of_elimination_by_2010,Probability_of_elimination_by_2011,Probability_of_elimination_by_2012,Probability_of_elimination_by_2013,Probability_of_elimination_by_2014,Probability_of_elimination_by_2015,Probability_of_elimination_by_2016,Probability_of_elimination_by_2017,Probability_of_elimination_by_2018,Probability_of_elimination_by_2019,Probability_of_elimination_by_2020,Probability_of_elimination_by_2021,Probability_of_elimination_by_2022,Probability_of_elimination_by_2023,Probability_of_elimination_by_2024,Probability_of_elimination_by_2025,Probability_of_elimination_by_2026,Probability_of_elimination_by_2027,Probability_of_elimination_by_2028,Probability_of_elimination_by_2029,Probability_of_elimination_by_2030,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Prev_Year2019,Prev_Year2020,Prev_Year2021,Prev_Year2022,Prev_Year2023,Prev_Year2024,Prev_Year2025,Prev_Year2026,Prev_Year2027,Prev_Year2028,Prev_Year2029,Prev_Year2030,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Lower_Bound_Year2019,Lower_Bound_Year2020,Lower_Bound_Year2021,Lower_Bound_Year2022,Lower_Bound_Year2023,Lower_Bound_Year2024,Lower_Bound_Year2025,Lower_Bound_Year2026,Lower_Bound_Year2027,Lower_Bound_Year2028,Lower_Bound_Year2029,Lower_Bound_Year2030,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018,Upper_Bound_Year2019,Upper_Bound_Year2020,Upper_Bound_Year2021,Upper_Bound_Year2022,Upper_Bound_Year2023,Upper_Bound_Year2024,Upper_Bound_Year2025,Upper_Bound_Year2026,Upper_Bound_Year2027,Upper_Bound_Year2028,Upper_Bound_Year2029,Upper_Bound_Year2030
TCD10760,Non-endemic,2519.71413570317,Enhanced frequency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN53289,Unknown,122127.522051785,Enhanced frequency,0.4987,0.50356,0.50329,0.50404,0.5068,0.50861,0.51057,0.51385,0.52309,0.5376,0.56056,0.58126,0.61404,0.65263,0.69945,0.74938,0.80526,0.82944,0.99067,0.99731,0.99907,0.99952,0.99978,0.99991,0.99995,0.99997,0.99998,0.99999,1,1,1,0.01513,0.015,0.01479,0.0146,0.01445,0.01432,0.01419,0.01403,0.01386,0.01353,0.01284,0.01209,0.01134,0.01044,0.00943,0.00843,0.00751,0.00657,0.006,0.00131,0.00072,0.00044,0.00029,0.00019,0.00012,8e-05,5e-05,3e-05,2e-05,2e-05,1e-05,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063945,0.06315,0.062105,0.061065,0.05986,0.058765,0.05784,0.056465,0.055755,0.054155,0.051385,0.048425,0.045325,0.041665,0.03766,0.033775,0.0302,0.026465,0.024475,0.00677,0.00416,0.003215,0.002935,0.002385,0.00138,0.000655,0.00025,0.00012,5.5e-05,2.5e-05,1.5e-05
MRT31082,Non-endemic,8464.81651861849,Enhanced frequency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRT31083,Non-endemic,43381.4748504199,Enhanced frequency,0.74344,0.74826,0.7483,0.74985,0.75042,0.75335,0.75379,0.75959,0.77136,0.78681,0.79885,0.81538,0.83742,0.85507,0.87171,0.88547,0.90022,0.90945,0.99282,0.99939,0.99988,0.99995,0.99997,0.99999,0.99999,1,1,1,1,1,1,0.00818,0.00813,0.0081,0.00807,0.00801,0.00799,0.00793,0.0079,0.00773,0.00743,0.00715,0.00688,0.00657,0.00619,0.00581,0.00545,0.0051,0.00475,0.0045,0.00133,0.00064,0.00034,0.00018,1e-04,6e-05,4e-05,3e-05,2e-05,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,0,0,0,0,0,0,0,0,0,0.038025,0.0378,0.03742,0.036975,0.03673,0.03633,0.036005,0.03591,0.034955,0.033455,0.032205,0.031095,0.02954,0.02785,0.02614,0.02457,0.023,0.021495,0.020275,0.005735,0.002675,0.0016,0.001035,0.000995,0.000905,0.000785,0.000525,0.00027,6.5e-05,0,0
MLI30034,Requiring PC,91777.6705097673,Enhanced frequency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCD10738,Non-endemic,20710.2962387845,Enhanced frequency,0.55369,0.55982,0.56215,0.56538,0.56833,0.5685,0.57805,0.59945,0.62151,0.64464,0.67122,0.70561,0.74018,0.78103,0.8194,0.85818,0.91369,0.92504,0.99878,0.99975,0.99991,0.99999,1,1,1,1,1,1,1,1,1,0.01178,0.01166,0.01152,0.01135,0.01123,0.0111,0.01095,0.0106,0.01009,0.00948,0.00884,0.00818,0.00757,0.00688,0.00623,0.00565,0.00509,0.00442,0.00409,0.00094,0.00051,0.00033,0.00021,0.00013,8e-05,5e-05,3e-05,2e-05,1e-05,1e-05,0,1e-05,5e-06,1e-05,5e-06,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05,5e-06,5e-06,5e-06,5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045785,0.045125,0.04403,0.04263,0.041835,0.04096,0.040125,0.03841,0.03625,0.033885,0.031095,0.0285,0.025995,0.023215,0.020615,0.018295,0.01614,0.01319,0.012915,0.00443,0.003145,0.002735,0.002095,0.001365,0.000805,0.000385,0.000185,8.5e-05,4e-05,5e-06,0
SDN53285,Unknown,85007.5096324187,Enhanced frequency,0.475,0.47884,0.47827,0.47875,0.48132,0.48319,0.4844,0.48688,0.496,0.51054,0.53076,0.55294,0.58813,0.62725,0.67967,0.73479,0.79537,0.82282,0.99325,0.99849,0.99958,0.99978,0.99991,0.99998,0.99999,0.99999,0.99999,1,1,1,1,0.01516,0.01503,0.01481,0.01462,0.01445,0.01432,0.01417,0.01402,0.01385,0.01351,0.01281,0.01206,0.0113,0.01039,0.00939,0.00837,0.00746,0.00651,0.00593,0.0013,0.00071,0.00044,0.00029,0.00018,0.00011,7e-05,4e-05,3e-05,2e-05,1e-05,1e-05,0.00011,0.000105,0.000115,0.00012,0.00013,0.000135,0.000145,0.00015,0.00016,0.000155,0.00016,0.000155,0.00016,0.000155,0.000145,0.000125,9.5e-05,1e-04,5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.059045,0.05808,0.057075,0.05574,0.054135,0.053375,0.052295,0.050825,0.05011,0.04822,0.04527,0.042605,0.039615,0.035995,0.03243,0.02874,0.025445,0.021755,0.020465,0.00615,0.004005,0.00331,0.00283,0.0021,0.00115,0.000675,0.000325,0.000145,4.5e-05,1e-05,0
SDN53295,Requiring PC,280476.899763305,Enhanced frequency,0.48758,0.49364,0.49408,0.49485,0.49832,0.5003,0.50228,0.50447,0.51308,0.52743,0.55125,0.56801,0.59729,0.63689,0.67649,0.71784,0.76634,0.79089,0.98544,0.99608,0.99876,0.99948,0.99977,0.9999,0.99994,0.99996,0.99998,0.99999,0.99999,1,1,0.01697,0.01687,0.01672,0.01657,0.01642,0.0163,0.01615,0.016,0.01583,0.01548,0.01478,0.01392,0.01313,0.01213,0.01098,0.00987,0.00884,0.00782,0.00711,0.00151,0.00081,5e-04,0.00032,0.00021,0.00013,9e-05,5e-05,4e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5e-06,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5e-06,5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078475,0.077925,0.077005,0.076125,0.075155,0.07443,0.07381,0.07302,0.072405,0.07044,0.067145,0.06336,0.05976,0.055265,0.05036,0.045605,0.04113,0.036605,0.03348,0.00784,0.004815,0.003155,0.002695,0.002485,0.00188,0.00104,0.00038,0.00016,6.5e-05,2e-05,1e-05
MRT31036,Non-endemic,57432.7857146216,Enhanced frequency,0.79119,0.79273,0.79276,0.79481,0.80058,0.80258,0.80858,0.81738,0.82868,0.84751,0.85827,0.87585,0.89837,0.91541,0.93432,0.95359,0.97391,0.97103,0.99909,0.99986,0.99998,1,1,1,1,1,1,1,1,1,1,0.00688,0.00677,0.00666,0.00655,0.00645,0.00635,0.00623,0.00612,0.0059,0.00563,0.00533,0.00506,0.00472,0.00435,0.004,0.00363,0.0033,0.0029,0.00285,0.00092,0.00047,0.00027,0.00015,8e-05,5e-05,3e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,0,0,0,0,0,0,0,0,0.02907,0.02845,0.02746,0.02653,0.026115,0.02527,0.024825,0.02386,0.02291,0.02137,0.019995,0.018685,0.0172,0.01549,0.013885,0.012205,0.010695,0.008785,0.00916,0.00392,0.002755,0.002225,0.001525,0.00078,0.00036,0.00013,4.5e-05,2e-05,0,0,0
MRT31051,Non-endemic,39354.8326693885,Enhanced frequency,0.70338,0.70329,0.70252,0.7037,0.7091,0.71139,0.71713,0.72652,0.73893,0.75816,0.76984,0.78794,0.81287,0.83228,0.85528,0.87921,0.905,0.90516,0.9873,0.99593,0.99816,0.99895,0.99925,0.99951,0.99967,0.99975,0.9998,0.99988,0.99992,0.99994,0.99996,0.0105,0.01038,0.01027,0.01016,0.01005,0.00993,0.0098,0.00968,0.00939,0.00901,0.00862,0.00825,0.00778,0.00727,0.00677,0.00626,0.0058,0.00528,0.0051,0.00151,0.00072,0.00039,0.00023,0.00013,8e-05,6e-05,4e-05,3e-05,2e-05,2e-05,1e-05,0,0,0,1.5e-05,0,1.5e-05,1.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0.05403,0.053735,0.052965,0.051615,0.051065,0.05022,0.049655,0.04879,0.047225,0.04466,0.04301,0.04106,0.03876,0.036035,0.03348,0.031155,0.02888,0.026425,0.025535,0.00817,0.004075,0.00306,0.002305,0.00135,0.00064,0.00029,0.00017,7e-05,4.5e-05,3e-05,3e-05
