StateCode,Population,Regime,Probability_of_elimination_by_2000,Probability_of_elimination_by_2001,Probability_of_elimination_by_2002,Probability_of_elimination_by_2003,Probability_of_elimination_by_2004,Probability_of_elimination_by_2005,Probability_of_elimination_by_2006,Probability_of_elimination_by_2007,Probability_of_elimination_by_2008,Probability_of_elimination_by_2009,Probability_of_elimination_by_2010,Probability_of_elimination_by_2011,Probability_of_elimination_by_2012,Probability_of_elimination_by_2013,Probability_of_elimination_by_2014,Probability_of_elimination_by_2015,Probability_of_elimination_by_2016,Probability_of_elimination_by_2017,Probability_of_elimination_by_2018,Probability_of_elimination_by_2019,Probability_of_elimination_by_2020,Probability_of_elimination_by_2021,Probability_of_elimination_by_2022,Probability_of_elimination_by_2023,Probability_of_elimination_by_2024,Probability_of_elimination_by_2025,Probability_of_elimination_by_2026,Probability_of_elimination_by_2027,Probability_of_elimination_by_2028,Probability_of_elimination_by_2029,Probability_of_elimination_by_2030,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Prev_Year2019,Prev_Year2020,Prev_Year2021,Prev_Year2022,Prev_Year2023,Prev_Year2024,Prev_Year2025,Prev_Year2026,Prev_Year2027,Prev_Year2028,Prev_Year2029,Prev_Year2030,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Lower_Bound_Year2019,Lower_Bound_Year2020,Lower_Bound_Year2021,Lower_Bound_Year2022,Lower_Bound_Year2023,Lower_Bound_Year2024,Lower_Bound_Year2025,Lower_Bound_Year2026,Lower_Bound_Year2027,Lower_Bound_Year2028,Lower_Bound_Year2029,Lower_Bound_Year2030,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018,Upper_Bound_Year2019,Upper_Bound_Year2020,Upper_Bound_Year2021,Upper_Bound_Year2022,Upper_Bound_Year2023,Upper_Bound_Year2024,Upper_Bound_Year2025,Upper_Bound_Year2026,Upper_Bound_Year2027,Upper_Bound_Year2028,Upper_Bound_Year2029,Upper_Bound_Year2030StateCode,Population,Regime,Probability_of_elimination_by_2000,Probability_of_elimination_by_2001,Probability_of_elimination_by_2002,Probability_of_elimination_by_2003,Probability_of_elimination_by_2004,Probability_of_elimination_by_2005,Probability_of_elimination_by_2006,Probability_of_elimination_by_2007,Probability_of_elimination_by_2008,Probability_of_elimination_by_2009,Probability_of_elimination_by_2010,Probability_of_elimination_by_2011,Probability_of_elimination_by_2012,Probability_of_elimination_by_2013,Probability_of_elimination_by_2014,Probability_of_elimination_by_2015,Probability_of_elimination_by_2016,Probability_of_elimination_by_2017,Probability_of_elimination_by_2018,Probability_of_elimination_by_2019,Probability_of_elimination_by_2020,Probability_of_elimination_by_2021,Probability_of_elimination_by_2022,Probability_of_elimination_by_2023,Probability_of_elimination_by_2024,Probability_of_elimination_by_2025,Probability_of_elimination_by_2026,Probability_of_elimination_by_2027,Probability_of_elimination_by_2028,Probability_of_elimination_by_2029,Probability_of_elimination_by_2030,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Prev_Year2019,Prev_Year2020,Prev_Year2021,Prev_Year2022,Prev_Year2023,Prev_Year2024,Prev_Year2025,Prev_Year2026,Prev_Year2027,Prev_Year2028,Prev_Year2029,Prev_Year2030,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Lower_Bound_Year2019,Lower_Bound_Year2020,Lower_Bound_Year2021,Lower_Bound_Year2022,Lower_Bound_Year2023,Lower_Bound_Year2024,Lower_Bound_Year2025,Lower_Bound_Year2026,Lower_Bound_Year2027,Lower_Bound_Year2028,Lower_Bound_Year2029,Lower_Bound_Year2030,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018,Upper_Bound_Year2019,Upper_Bound_Year2020,Upper_Bound_Year2021,Upper_Bound_Year2022,Upper_Bound_Year2023,Upper_Bound_Year2024,Upper_Bound_Year2025,Upper_Bound_Year2026,Upper_Bound_Year2027,Upper_Bound_Year2028,Upper_Bound_Year2029,Upper_Bound_Year2030


1498,6193884.06586681,Enhanced coverage,0.521278070941713,0.521835215925692,0.524890386848023,0.524278155670334,0.526655330295878,0.527876865526199,0.528942049196116,0.531477706761934,0.533411324158649,0.535600858503272,0.538631055320523,0.541873397658609,0.546635803444948,0.55011303210628,0.555262456643439,0.563758074599662,0.580937705438858,0.592435327893994,0.719572238822276,0.807260380884974,0.878121448627753,0.933271571666993,0.969607799397096,0.988475479031785,0.995447781825151,0.9978223238708,0.998844205934759,0.99935830221151,0.999593990681547,0.999732786433399,0.999814744202196,0.0219929902342161,0.0219001776104032,0.0218280240398835,0.0217247169550503,0.0216390267012826,0.0215382328992796,0.0214211479541615,0.0213030718379391,0.0211956262246236,0.0210772655400306,0.0209265806692186,0.0208086296219215,0.0206627384857683,0.0205228102600526,0.0203868216588041,0.0202312077460385,0.019708302544583,0.018817004227547,0.0180592517944785,0.0108820346777311,0.00740663088296593,0.00488111559097373,0.00303598036920043,0.0018100541800106,0.0010555034907261,0.000623294116463673,0.000377310693312582,0.000236350084636688,0.000151456330191957,9.71231755561395e-05,6.40611774425762e-05,0.00188605958315151,0.00190756092300658,0.00192812220207695,0.00195600453815064,0.00199267873775813,0.00201524757299701,0.00204644536835462,0.00207186418062063,0.00211957479108506,0.00214701816081337,0.00218079007567529,0.00221889377113245,0.00226161293471647,0.00230772447823396,0.00235028574363019,0.00239411121545665,0.00239798096029619,0.00239166733509985,0.00218030814207807,0.000862986331076692,0.000389965324629914,0.000146799479743607,3.67685534064076e-05,8.7208263459971e-06,4.08897054797082e-06,2.17965056804062e-06,1.19581931787156e-06,4.23906871878158e-07,1.6501083842157e-07,4.05528255605147e-08,0,0.0735048225967955,0.0727733828157563,0.0721032722468516,0.0714093291711896,0.0706841108040391,0.0700936155289756,0.0693989169314607,0.0686317362724497,0.0679277681279439,0.0672092541176307,0.0664977755884493,0.0658098563201164,0.0651317413445796,0.0645252065336847,0.0639007199937765,0.0632791130798679,0.0615037952503288,0.0585542520488782,0.0566287708956812,0.0379455993584249,0.0277748542080141,0.0197142841962609,0.0133555023902959,0.00871263058023599,0.00556678666791518,0.00366729840181889,0.00261056402445627,0.00192386890846623,0.00136587197821101,0.000916351777849447,0.000611438405860119StateCode,Population,Regime,Probability_of_elimination_by_2000,Probability_of_elimination_by_2001,Probability_of_elimination_by_2002,Probability_of_elimination_by_2003,Probability_of_elimination_by_2004,Probability_of_elimination_by_2005,Probability_of_elimination_by_2006,Probability_of_elimination_by_2007,Probability_of_elimination_by_2008,Probability_of_elimination_by_2009,Probability_of_elimination_by_2010,Probability_of_elimination_by_2011,Probability_of_elimination_by_2012,Probability_of_elimination_by_2013,Probability_of_elimination_by_2014,Probability_of_elimination_by_2015,Probability_of_elimination_by_2016,Probability_of_elimination_by_2017,Probability_of_elimination_by_2018,Probability_of_elimination_by_2019,Probability_of_elimination_by_2020,Probability_of_elimination_by_2021,Probability_of_elimination_by_2022,Probability_of_elimination_by_2023,Probability_of_elimination_by_2024,Probability_of_elimination_by_2025,Probability_of_elimination_by_2026,Probability_of_elimination_by_2027,Probability_of_elimination_by_2028,Probability_of_elimination_by_2029,Probability_of_elimination_by_2030,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Prev_Year2019,Prev_Year2020,Prev_Year2021,Prev_Year2022,Prev_Year2023,Prev_Year2024,Prev_Year2025,Prev_Year2026,Prev_Year2027,Prev_Year2028,Prev_Year2029,Prev_Year2030,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Lower_Bound_Year2019,Lower_Bound_Year2020,Lower_Bound_Year2021,Lower_Bound_Year2022,Lower_Bound_Year2023,Lower_Bound_Year2024,Lower_Bound_Year2025,Lower_Bound_Year2026,Lower_Bound_Year2027,Lower_Bound_Year2028,Lower_Bound_Year2029,Lower_Bound_Year2030,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018,Upper_Bound_Year2019,Upper_Bound_Year2020,Upper_Bound_Year2021,Upper_Bound_Year2022,Upper_Bound_Year2023,Upper_Bound_Year2024,Upper_Bound_Year2025,Upper_Bound_Year2026,Upper_Bound_Year2027,Upper_Bound_Year2028,Upper_Bound_Year2029,Upper_Bound_Year2030


1502,6947063.21510585,Enhanced coverage,0.814767791173147,0.817850186055664,0.821436043956639,0.823241886732602,0.828140347819616,0.832479086204217,0.836455669156432,0.841893294309158,0.847349495779548,0.852827391602637,0.859865951070959,0.868219697880372,0.875638315955452,0.884806602109296,0.904064828236065,0.930268619632092,0.949193143464369,0.954206186977765,0.975929790813992,0.987072221724183,0.994275789696186,0.998049878495102,0.999434414578026,0.999858204990291,0.99995446455993,0.99997511326583,0.999983891121797,0.999987837304461,0.999993030540487,0.999994981557823,0.999995908955059,0.00641750738119263,0.00631607560636166,0.00623013526095782,0.00614463011392355,0.00606032463668544,0.00595691538001718,0.00585016154279865,0.00575579329077825,0.00563931313807462,0.00552786038784797,0.00540033412150467,0.00528457804316143,0.00514567580356415,0.00500646194508822,0.00486159023840379,0.00442003949055288,0.0036818021043473,0.00304358865544522,0.00273319004096133,0.00190762977927357,0.00138839916407286,0.000956996215737724,0.00062860392382908,0.000405389869954308,0.000258135248672785,0.000164236296192932,0.00010562766269404,6.73183226678399e-05,4.25370612963399e-05,2.63658366088385e-05,1.68458658509903e-05,4.35520182367982e-05,4.366116245756e-05,4.44396676323869e-05,4.48985806025808e-05,4.77758399987613e-05,4.82129838421587e-05,4.99857321597859e-05,4.98422123568322e-05,5.13876339837e-05,5.38671937136308e-05,5.66264941395086e-05,5.90917613143448e-05,5.99618118452645e-05,6.35044948481307e-05,6.64294114775578e-05,7.33489543577455e-05,4.84404532682936e-05,2.36645127291849e-05,1.37273562838791e-05,6.63681354958133e-06,3.93278864039196e-06,2.01349006276453e-06,9.40341630109255e-07,7.49026699643359e-07,5.22952148238647e-07,2.57169772211249e-07,1.21340287258086e-07,2.11898539202802e-08,0,0,0,0.0265380660270894,0.0258283700420871,0.0252775379001506,0.0246241063547647,0.0239725387413221,0.0233227094802369,0.022637901130715,0.0219898998528517,0.0213927951871581,0.0206692510972738,0.0199370253692285,0.0192537528332833,0.0185110684160015,0.0177999867171611,0.0170464862105647,0.0154190016342167,0.013164609480736,0.0109897372692725,0.0101669174809381,0.0076673183477849,0.00595157805907023,0.00458647111526965,0.0034302108950434,0.00248427767450935,0.00182749521252018,0.00131830280067474,0.000932447944039607,0.000630269483245857,0.000415238973154163,0.000257248396024454,0.000159284522186234StateCode,Population,Regime,Probability_of_elimination_by_2000,Probability_of_elimination_by_2001,Probability_of_elimination_by_2002,Probability_of_elimination_by_2003,Probability_of_elimination_by_2004,Probability_of_elimination_by_2005,Probability_of_elimination_by_2006,Probability_of_elimination_by_2007,Probability_of_elimination_by_2008,Probability_of_elimination_by_2009,Probability_of_elimination_by_2010,Probability_of_elimination_by_2011,Probability_of_elimination_by_2012,Probability_of_elimination_by_2013,Probability_of_elimination_by_2014,Probability_of_elimination_by_2015,Probability_of_elimination_by_2016,Probability_of_elimination_by_2017,Probability_of_elimination_by_2018,Probability_of_elimination_by_2019,Probability_of_elimination_by_2020,Probability_of_elimination_by_2021,Probability_of_elimination_by_2022,Probability_of_elimination_by_2023,Probability_of_elimination_by_2024,Probability_of_elimination_by_2025,Probability_of_elimination_by_2026,Probability_of_elimination_by_2027,Probability_of_elimination_by_2028,Probability_of_elimination_by_2029,Probability_of_elimination_by_2030,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Prev_Year2019,Prev_Year2020,Prev_Year2021,Prev_Year2022,Prev_Year2023,Prev_Year2024,Prev_Year2025,Prev_Year2026,Prev_Year2027,Prev_Year2028,Prev_Year2029,Prev_Year2030,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Lower_Bound_Year2019,Lower_Bound_Year2020,Lower_Bound_Year2021,Lower_Bound_Year2022,Lower_Bound_Year2023,Lower_Bound_Year2024,Lower_Bound_Year2025,Lower_Bound_Year2026,Lower_Bound_Year2027,Lower_Bound_Year2028,Lower_Bound_Year2029,Lower_Bound_Year2030,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018,Upper_Bound_Year2019,Upper_Bound_Year2020,Upper_Bound_Year2021,Upper_Bound_Year2022,Upper_Bound_Year2023,Upper_Bound_Year2024,Upper_Bound_Year2025,Upper_Bound_Year2026,Upper_Bound_Year2027,Upper_Bound_Year2028,Upper_Bound_Year2029,Upper_Bound_Year2030


1507,2694058.37352833,Enhanced coverage,0.920706065369192,0.921616494920939,0.924473061401577,0.924761534841622,0.927300265187224,0.929435453620952,0.932247671517258,0.935624280511271,0.938352984987697,0.940541108067759,0.944119117607219,0.948334092278355,0.951785892091777,0.95480665505581,0.959003562826701,0.964152877266416,0.97219480572192,0.973302889741943,0.982650038874122,0.991011274298403,0.996395527927033,0.998936087933083,0.999754563091357,0.999962461369042,0.999995557222938,0.99999880614671,0.999999285313361,0.999999481869676,0.999999596426025,0.999999684020656,0.999999740504104,0.00432562158727625,0.00428618093786413,0.00425839336945763,0.00422246619712992,0.00418710470415878,0.00414350248139019,0.00409026521085677,0.00404141404458003,0.00398542532780841,0.00392943492270562,0.00387044619308269,0.00380432992635262,0.00373593289545979,0.00365188483187422,0.00357926395739014,0.0035172106973945,0.00340988691178247,0.00315315357020698,0.0030670019580811,0.00258737232112036,0.00200833740088718,0.00139883056240117,0.000911228603327384,0.000572069773779031,0.00034950810263975,0.000211578089723698,0.00012457825301024,7.22768973951903e-05,4.07819308708779e-05,2.3605946105437e-05,1.2958559660877e-05,2.14009965185349e-05,2.04964438620121e-05,1.93767149923393e-05,1.85122700417126e-05,1.85720146917009e-05,1.7707585644799e-05,1.76659945096511e-05,1.73673034500617e-05,1.82972430518965e-05,1.79695597960863e-05,1.70774112372856e-05,1.80889156728016e-05,1.78967934093648e-05,1.88363844101351e-05,1.82731928724427e-05,1.91672059043401e-05,1.98237228545133e-05,1.9973517177293e-05,2.08364447958962e-05,2.13431093622028e-05,2.11392962585672e-05,2.06862652224434e-05,2.02449993182547e-05,1.73619275783032e-05,1.55680386038489e-05,8.83552000920693e-06,4.09378089091719e-06,1.68149287631547e-06,0,0,0,0.0153094591867572,0.0150164211919397,0.0148150539638611,0.0145538152474632,0.0143104836667887,0.0141175758165168,0.0138098068633885,0.0134813139186568,0.0131560373456477,0.0127999671305084,0.0124436283363883,0.0120792581038147,0.0117454837660784,0.0114187212965213,0.0110679637693861,0.0106913383714598,0.010179551212275,0.00920701906311103,0.00911420237899048,0.00787421036504498,0.00638482041934052,0.00481907243599242,0.00349923926256618,0.00244851655728344,0.00172399016954269,0.00127963912858934,0.000930408764634237,0.000635728674994083,0.000417460411555523,0.000247409979408081,0.000141793362786461StateCode,Population,Regime,Probability_of_elimination_by_2000,Probability_of_elimination_by_2001,Probability_of_elimination_by_2002,Probability_of_elimination_by_2003,Probability_of_elimination_by_2004,Probability_of_elimination_by_2005,Probability_of_elimination_by_2006,Probability_of_elimination_by_2007,Probability_of_elimination_by_2008,Probability_of_elimination_by_2009,Probability_of_elimination_by_2010,Probability_of_elimination_by_2011,Probability_of_elimination_by_2012,Probability_of_elimination_by_2013,Probability_of_elimination_by_2014,Probability_of_elimination_by_2015,Probability_of_elimination_by_2016,Probability_of_elimination_by_2017,Probability_of_elimination_by_2018,Probability_of_elimination_by_2019,Probability_of_elimination_by_2020,Probability_of_elimination_by_2021,Probability_of_elimination_by_2022,Probability_of_elimination_by_2023,Probability_of_elimination_by_2024,Probability_of_elimination_by_2025,Probability_of_elimination_by_2026,Probability_of_elimination_by_2027,Probability_of_elimination_by_2028,Probability_of_elimination_by_2029,Probability_of_elimination_by_2030,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Prev_Year2019,Prev_Year2020,Prev_Year2021,Prev_Year2022,Prev_Year2023,Prev_Year2024,Prev_Year2025,Prev_Year2026,Prev_Year2027,Prev_Year2028,Prev_Year2029,Prev_Year2030,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Lower_Bound_Year2019,Lower_Bound_Year2020,Lower_Bound_Year2021,Lower_Bound_Year2022,Lower_Bound_Year2023,Lower_Bound_Year2024,Lower_Bound_Year2025,Lower_Bound_Year2026,Lower_Bound_Year2027,Lower_Bound_Year2028,Lower_Bound_Year2029,Lower_Bound_Year2030,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018,Upper_Bound_Year2019,Upper_Bound_Year2020,Upper_Bound_Year2021,Upper_Bound_Year2022,Upper_Bound_Year2023,Upper_Bound_Year2024,Upper_Bound_Year2025,Upper_Bound_Year2026,Upper_Bound_Year2027,Upper_Bound_Year2028,Upper_Bound_Year2029,Upper_Bound_Year2030

